,time_bin,swapdelay,datapath,maybe_rtt_us_0.05,maybe_rtt_us_0.25,maybe_rtt_us_0.5,maybe_rtt_us_0.75,maybe_rtt_us_0.95
0,0.0,3000,dp,9.0,11.0,13.0,14.0,19.0
1,0.0,3000,mux,14.0,17.75,23.0,22278.0,42006.25
2,1.0,3000,dp,9.0,11.0,13.0,14.0,15.0
3,1.0,3000,mux,14.0,14.0,17.0,19.0,23.0
4,2.0,3000,dp,9.0,10.0,13.0,14.0,15.0
5,2.0,3000,mux,14.0,14.0,17.0,18.0,22.099999999999966
6,3.0,3000,dp,9.0,10.0,13.0,14.0,17.0
7,3.0,3000,mux,18.0,19.0,22.0,26.0,33.0
8,4.0,3000,dp,9.0,10.0,13.0,14.0,16.0
9,4.0,3000,mux,18.0,19.0,22.0,25.0,34.0
10,5.0,3000,dp,9.0,10.0,13.0,14.0,15.0
11,5.0,3000,mux,18.0,19.0,22.0,25.0,33.0
12,6.0,3000,dp,9.0,10.0,13.0,13.0,15.0
13,6.0,3000,mux,18.0,19.0,23.0,24.0,32.0
14,7.0,3000,dp,9.0,10.0,13.0,14.0,17.0
15,7.0,3000,mux,18.0,19.0,23.0,25.0,34.0
16,8.0,3000,dp,9.0,10.0,13.0,14.0,17.0
17,8.0,3000,mux,14.0,14.0,18.0,18.0,22.0
18,9.0,3000,dp,9.0,10.0,13.0,14.0,15.0
19,9.0,3000,mux,14.0,14.0,17.0,18.0,22.0
20,10.0,3000,dp,9.0,10.0,13.0,14.0,15.0
21,10.0,3000,mux,14.0,14.0,17.0,18.0,22.0
22,11.0,3000,dp,9.0,10.0,13.0,14.0,15.0
23,11.0,3000,mux,14.0,14.0,17.0,18.0,21.0
24,12.0,3000,dp,9.0,11.0,13.0,14.0,17.0
25,12.0,3000,mux,13.950000000000003,14.0,17.0,18.0,22.0
26,13.0,3000,dp,9.0,10.0,13.0,14.0,15.0
27,13.0,3000,mux,14.0,14.0,17.0,18.0,22.0
28,14.0,3000,dp,9.0,10.0,13.0,14.0,15.0
29,14.0,3000,mux,14.0,14.0,17.0,18.0,22.0
30,15.0,3000,dp,9.0,10.0,13.0,14.0,16.0
31,15.0,3000,mux,14.0,14.0,17.0,18.0,21.0
32,16.0,3000,dp,9.0,11.0,13.0,14.0,16.0
33,16.0,3000,mux,14.0,14.0,17.0,18.0,22.0
34,17.0,3000,dp,9.0,11.0,13.0,14.0,15.0
35,17.0,3000,mux,14.0,14.0,17.0,18.0,21.0
36,18.0,3000,dp,9.0,10.0,13.0,13.25,15.0
37,18.0,3000,mux,14.0,14.0,17.0,18.0,22.0
38,19.0,3000,dp,9.0,10.0,13.0,14.0,15.0
39,19.0,3000,mux,14.0,14.0,17.0,18.0,22.0
40,20.0,3000,dp,9.0,10.0,13.0,14.0,17.0
41,20.0,3000,mux,14.0,14.0,18.0,19.0,22.0
42,21.0,3000,dp,9.0,10.0,13.0,14.0,15.0
43,21.0,3000,mux,14.0,14.0,17.0,18.0,22.0
44,22.0,3000,dp,9.0,11.0,13.0,14.0,16.0
45,22.0,3000,mux,14.0,14.0,18.0,18.0,22.0
46,23.0,3000,dp,9.0,10.0,13.0,14.0,16.0
47,23.0,3000,mux,14.0,14.0,17.0,18.0,22.0
48,24.0,3000,dp,9.0,10.0,13.0,14.0,16.0
49,24.0,3000,mux,14.0,14.0,17.0,18.0,22.0
50,25.0,3000,dp,9.0,10.0,13.0,14.0,15.0
51,25.0,3000,mux,14.0,14.0,17.0,18.0,22.0
52,26.0,3000,dp,9.0,10.0,13.0,14.0,16.0
53,26.0,3000,mux,14.0,14.0,17.0,18.0,22.0
54,27.0,3000,dp,9.0,11.0,13.0,14.0,15.0
55,27.0,3000,mux,14.0,14.0,17.0,18.0,22.0
56,28.0,3000,dp,9.0,10.0,13.0,14.0,16.0
57,28.0,3000,mux,13.0,14.0,17.0,18.0,22.0
58,29.0,3000,dp,9.0,10.0,13.0,14.0,16.0
59,29.0,3000,mux,14.0,14.0,17.0,18.0,22.0
60,30.0,3000,dp,12.0,12.0,13.0,13.0,13.0
61,30.0,3000,mux,14.0,74.5,1931.0,4935.0,7025.5
62,31.0,3000,dp,185265.5,455863.25,532157.0,537157.0,541927.2
63,31.0,3000,mux,158033.3,186788.0,194015.0,271109.0,304349.8
64,32.0,3000,dp,,,,,
65,32.0,3000,mux,,,,,
66,33.0,3000,dp,48.6,4643.5,19116.0,26118.0,32385.199999999993
67,33.0,3000,mux,15.0,18.0,3039.0,9979.25,15782.099999999999
68,34.0,3000,dp,38.95,55.75,69.0,111.0,162.0
69,34.0,3000,mux,15.0,18.0,19.0,1787.5,11032.0
70,35.0,3000,dp,36.95,52.75,69.0,117.0,158.14999999999998
71,35.0,3000,mux,14.0,17.0,18.0,25.0,41.0
72,36.0,3000,dp,23.5,51.0,67.0,96.75,135.0
73,36.0,3000,mux,14.0,15.0,18.0,24.0,33.099999999999966
74,37.0,3000,dp,13.0,17.0,17.0,24.0,37.049999999999955
75,37.0,3000,mux,14.0,14.0,17.0,23.0,34.0
76,38.0,3000,dp,13.0,14.0,16.0,23.0,34.0
