,ShardType,NumShards,Ops,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95,Commit,Datapath,Concurrency,Poisson
0,client,4,10000,400.0,400.0,400.0,400.0,400.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,121680.0,121680.0,121680.0,121680.0,121680.0,65.0,71.0,76.0,84.0,94.0,kv-90287b5,kernel,4,True
1,client,4,10000,800.0,800.0,800.0,800.0,800.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,122044.0,122044.0,122044.0,122044.0,122044.0,67.0,73.0,79.0,87.0,107.0,kv-90287b5,kernel,8,True
2,client,4,20000,200.0,200.0,200.0,200.0,200.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,60937.0,60937.0,60937.0,60937.0,60937.0,60.0,64.0,68.0,76.0,88.0,kv-90287b5,kernel,4,True
3,client,4,20000,400.0,400.0,400.0,400.0,400.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,61069.0,61069.0,61069.0,61069.0,61069.0,60.0,67.0,75.0,86.0,106.0,kv-90287b5,kernel,8,True
4,client,4,40000,100.0,100.0,100.0,100.0,100.0,1214023.0,1214023.0,1214023.0,1214023.0,1214023.0,30531.0,30531.0,30531.0,30531.0,30531.0,54.0,59.0,63.0,69.0,86.0,kv-90287b5,kernel,4,True
5,client,4,40000,200.0,200.0,200.0,200.0,200.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,30585.0,30585.0,30585.0,30585.0,30585.0,56.0,61.0,67.0,78.0,94.0,kv-90287b5,kernel,8,True
6,client,4,60000,66.0,66.0,66.0,66.0,66.0,1214019.0,1214019.0,1214019.0,1214019.0,1214019.0,20196.0,20196.0,20196.0,20196.0,20196.0,53.0,57.0,61.0,66.0,91.0,kv-90287b5,kernel,4,True
7,client,4,60000,133.0,133.0,133.0,133.0,133.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,20360.0,20360.0,20360.0,20360.0,20360.0,54.0,60.0,65.0,74.0,92.0,kv-90287b5,kernel,8,True
8,client,4,80000,50.0,50.0,50.0,50.0,50.0,1213426.0,1213426.0,1213426.0,1213426.0,1213426.0,15318.0,15318.0,15318.0,15318.0,15318.0,69.0,90.0,117.0,139.0,169.0,kv-90287b5,kernel,4,True
9,client,4,80000,100.0,100.0,100.0,100.0,100.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,15337.0,15337.0,15337.0,15337.0,15337.0,54.0,59.0,64.0,71.0,87.0,kv-90287b5,kernel,8,True
10,client,4,100000,40.0,40.0,40.0,40.0,40.0,1214019.0,1214019.0,1214019.0,1214019.0,1214019.0,12333.0,12333.0,12333.0,12333.0,12333.0,52.0,61.0,65.0,71.0,92.0,kv-90287b5,kernel,4,True
11,client,4,100000,80.0,80.0,80.0,80.0,80.0,1212824.0,1212824.0,1212824.0,1212824.0,1212824.0,12287.0,12287.0,12287.0,12287.0,12287.0,53.0,60.0,68.0,79.0,139.0,kv-90287b5,kernel,8,True
12,client,4,120000,33.0,33.0,33.0,33.0,33.0,1213669.0,1213669.0,1213669.0,1213669.0,1213669.0,10158.0,10158.0,10158.0,10158.0,10158.0,57.0,91.0,118.0,128.0,195.0,kv-90287b5,kernel,4,True
13,client,4,120000,66.0,66.0,66.0,66.0,66.0,1214012.0,1214012.0,1214012.0,1214012.0,1214012.0,10133.0,10133.0,10133.0,10133.0,10133.0,55.0,61.0,67.0,79.0,102.0,kv-90287b5,kernel,8,True
14,client,4,140000,28.0,28.0,28.0,28.0,28.0,1213705.0,1213705.0,1213705.0,1213705.0,1213705.0,8649.0,8649.0,8649.0,8649.0,8649.0,59.0,93.0,120.0,147.0,216.0,kv-90287b5,kernel,4,True
15,client,4,140000,57.0,57.0,57.0,57.0,57.0,1214009.0,1214009.0,1214009.0,1214009.0,1214009.0,8775.0,8775.0,8775.0,8775.0,8775.0,56.0,66.0,81.0,96.0,143.0,kv-90287b5,kernel,8,True
16,client,4,160000,25.0,25.0,25.0,25.0,25.0,1212917.0,1212917.0,1212917.0,1212917.0,1212917.0,7746.0,7746.0,7746.0,7746.0,7746.0,71.0,113.0,179.0,250.0,506.0,kv-90287b5,kernel,4,True
17,client,4,160000,50.0,50.0,50.0,50.0,50.0,1213920.0,1213920.0,1213920.0,1213920.0,1213920.0,7707.0,7707.0,7707.0,7707.0,7707.0,63.0,79.0,104.0,157.0,253.0,kv-90287b5,kernel,8,True
18,client,4,180000,22.0,22.0,22.0,22.0,22.0,1213292.0,1213292.0,1213292.0,1213292.0,1213292.0,6884.0,6884.0,6884.0,6884.0,6884.0,218.0,525.0,1444.0,2987.0,10392.0,kv-90287b5,kernel,4,True
19,client,4,180000,44.0,44.0,44.0,44.0,44.0,1199246.0,1199246.0,1199246.0,1199246.0,1199246.0,6859.0,6859.0,6859.0,6859.0,6859.0,127.0,490.0,970.0,1461.0,501919.0,kv-90287b5,kernel,8,True
20,client,4,200000,20.0,20.0,20.0,20.0,20.0,1133453.0,1133453.0,1133453.0,1133453.0,1133453.0,6490.0,6490.0,6490.0,6490.0,6490.0,508.0,4023.0,7173.0,12171.0,513792.3999999999,kv-90287b5,kernel,4,True
21,client,4,200000,40.0,40.0,40.0,40.0,40.0,1197445.0,1197445.0,1197445.0,1197445.0,1197445.0,6248.0,6248.0,6248.0,6248.0,6248.0,178.0,699.0,1137.0,1752.0,502403.0,kv-90287b5,kernel,8,True
22,server,4,10000,400.0,400.0,400.0,400.0,400.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,121659.0,121659.0,121659.0,121659.0,121659.0,95.0,102.0,107.0,115.0,130.0,kv-90287b5,kernel,4,True
