,ShardType,NumShards,Ops,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95,Commit,Datapath,Concurrency,Poisson
0,client,4,10000,1200.0,1200.0,1200.0,1200.0,1200.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,365005.0,365005.0,365094.0,365569.0,365569.0,85.0,98.0,113.0,132.0,164.0,kv-mlx-3ac777d,kernel,4,True
1,client,4,20000,600.0,600.0,600.0,600.0,600.0,1214023.0,1214023.0,1214024.0,1214024.0,1214024.0,182654.0,182654.0,182670.0,182913.0,182913.0,73.0,81.0,90.0,103.0,136.0,kv-mlx-3ac777d,kernel,4,True
2,client,4,40000,300.0,300.0,300.0,300.0,300.0,1213727.0,1213727.0,1213748.0,1213758.0,1213758.0,91407.0,91407.0,91470.0,91574.0,91574.0,70.0,80.0,94.0,114.0,1294.0,kv-mlx-3ac777d,kernel,4,True
3,client,4,60000,200.0,200.0,200.0,200.0,200.0,1213043.0,1213043.0,1213066.0,1213067.0,1213067.0,61063.0,61063.0,61069.0,61155.0,61155.0,92.0,116.0,133.0,159.0,2300.0,kv-mlx-3ac777d,kernel,4,True
4,client,4,80000,150.0,150.0,150.0,150.0,150.0,1213119.0,1213119.0,1213146.0,1213150.0,1213150.0,45849.0,45849.0,45858.0,45905.0,45905.0,92.0,131.0,184.0,383.0,2111.0,kv-mlx-3ac777d,kernel,4,True
5,client,4,100000,120.0,120.0,120.0,120.0,120.0,1213255.0,1213255.0,1213277.0,1213303.0,1213303.0,36723.0,36723.0,36729.0,36751.0,36751.0,96.0,203.0,396.0,677.0,1438.0,kv-mlx-3ac777d,kernel,4,True
6,client,4,120000,100.0,100.0,100.0,100.0,100.0,1140909.0,1140909.0,1142437.0,1143165.0,1143165.0,30705.0,30705.0,30730.0,30741.0,30741.0,197.0,2491.0,13663.0,519980.0,2084743.0,kv-mlx-3ac777d,kernel,4,True
7,client,4,140000,85.0,85.0,85.0,85.0,85.0,530659.0,530659.0,533282.0,541932.0,541932.0,27025.0,27025.0,27118.0,32168.0,32168.0,2830.0,61050.0,911941.0,2570902.0,7628924.399999999,kv-mlx-3ac777d,kernel,4,True
8,client,4,160000,75.0,75.0,75.0,75.0,75.0,609039.0,609039.0,609966.0,621575.0,621575.0,24087.0,24087.0,24142.0,24443.0,24443.0,1775.0,24710.0,554212.0,2043815.25,7955600.549999987,kv-mlx-3ac777d,kernel,4,True
9,client,4,180000,66.0,66.0,66.0,66.0,66.0,426416.0,426416.0,455925.0,462441.0,462441.0,21330.0,21330.0,21388.0,23029.0,23029.0,2809.0,143454.25,1308073.0,3782899.0,12455537.549999999,kv-mlx-3ac777d,kernel,4,True
10,client,4,200000,60.0,60.0,60.0,60.0,60.0,438919.0,438919.0,449271.0,450024.0,450024.0,19548.0,19548.0,19593.0,19633.0,19633.0,3075.0,173843.75,1357443.5,3585639.25,9547474.149999999,kv-mlx-3ac777d,kernel,4,True
11,client,4,10000,1200.0,1200.0,1200.0,1200.0,1200.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,365037.0,365037.0,365080.0,365654.0,365654.0,32.0,35.0,43.0,49.0,54.0,kv-mlx-3ac777d,dpdkthread,4,True
12,client,4,20000,600.0,600.0,600.0,600.0,600.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,182618.0,182618.0,182735.0,182950.0,182950.0,32.0,34.0,42.0,49.0,53.0,kv-mlx-3ac777d,dpdkthread,4,True
13,client,4,40000,300.0,300.0,300.0,300.0,300.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,91412.0,91412.0,91531.0,91604.0,91604.0,32.0,34.0,42.0,49.0,53.0,kv-mlx-3ac777d,dpdkthread,4,True
14,client,4,60000,200.0,200.0,200.0,200.0,200.0,1213964.0,1213964.0,1214024.0,1214024.0,1214024.0,61001.0,61001.0,61032.0,61221.0,61221.0,32.0,34.0,43.0,49.0,54.0,kv-mlx-3ac777d,dpdkthread,4,True
15,client,4,80000,150.0,150.0,150.0,150.0,150.0,1213884.0,1213884.0,1214024.0,1214024.0,1214024.0,45798.0,45798.0,45934.0,45987.0,45987.0,31.0,35.0,43.0,49.0,55.0,kv-mlx-3ac777d,dpdkthread,4,True
16,client,4,100000,120.0,120.0,120.0,120.0,120.0,1213679.0,1213679.0,1213805.0,1213844.0,1213844.0,36714.0,36714.0,36808.0,36830.0,36830.0,32.0,36.0,45.0,51.0,59.0,kv-mlx-3ac777d,dpdkthread,4,True
17,client,4,120000,100.0,100.0,100.0,100.0,100.0,1210994.0,1210994.0,1211164.0,1212587.0,1212587.0,30630.0,30630.0,30653.0,32671.0,32671.0,35.0,42.0,47.0,58.0,321.0,kv-mlx-3ac777d,dpdkthread,4,True
18,client,4,140000,85.0,85.0,85.0,85.0,85.0,1210415.0,1210415.0,1210623.0,1212110.0,1212110.0,26052.0,26052.0,26110.0,28191.0,28191.0,37.0,47.0,52.0,69.0,492.0,kv-mlx-3ac777d,dpdkthread,4,True
19,client,4,160000,75.0,75.0,75.0,75.0,75.0,1213541.0,1213541.0,1214024.0,1214024.0,1214024.0,23052.0,23052.0,23088.0,23154.0,23154.0,31.0,36.0,45.0,51.0,63.0,kv-mlx-3ac777d,dpdkthread,4,True
20,client,4,180000,66.0,66.0,66.0,66.0,66.0,1213208.0,1213208.0,1213434.0,1213513.0,1213513.0,20313.0,20313.0,20387.0,20402.0,20402.0,33.0,39.0,47.0,55.0,156.0,kv-mlx-3ac777d,dpdkthread,4,True
21,client,4,200000,60.0,60.0,60.0,60.0,60.0,1213817.0,1213817.0,1214024.0,1214024.0,1214024.0,18533.0,18533.0,18567.0,18599.0,18599.0,31.0,38.0,45.0,51.0,74.0,kv-mlx-3ac777d,dpdkthread,4,True
33,client,4,10000,1200.0,1200.0,1200.0,1200.0,1200.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,365161.0,365161.0,365276.0,365736.0,365736.0,39.0,50.0,53.0,56.0,61.0,kv-mlx-3ac777d,shenango_channel,4,True
34,client,4,20000,600.0,600.0,600.0,600.0,600.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,182740.0,182740.0,182837.0,183069.0,183069.0,38.0,48.0,52.0,55.0,63.0,kv-mlx-3ac777d,shenango_channel,4,True
35,client,4,40000,300.0,300.0,300.0,300.0,300.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,91588.0,91588.0,91651.0,91777.0,91777.0,40.0,48.0,52.0,55.0,64.0,kv-mlx-3ac777d,shenango_channel,4,True
36,client,4,60000,200.0,200.0,200.0,200.0,200.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,61180.0,61180.0,61192.0,61313.0,61313.0,38.0,48.0,52.0,56.0,68.0,kv-mlx-3ac777d,shenango_channel,4,True
37,client,4,80000,150.0,150.0,150.0,150.0,150.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,45964.0,45964.0,45990.0,46091.0,46091.0,39.0,48.0,53.0,57.0,70.0,kv-mlx-3ac777d,shenango_channel,4,True
38,client,4,100000,120.0,120.0,120.0,120.0,120.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,36869.0,36869.0,36911.0,36946.0,36946.0,42.0,51.0,55.0,61.0,77.0,kv-mlx-3ac777d,shenango_channel,4,True
39,client,4,120000,100.0,100.0,100.0,100.0,100.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,30778.0,30778.0,30785.0,30873.0,30873.0,40.0,51.0,57.0,74.0,125.0,kv-mlx-3ac777d,shenango_channel,4,True
40,client,4,140000,85.0,85.0,85.0,85.0,85.0,1213959.0,1213959.0,1213968.0,1214001.0,1214001.0,26261.0,26261.0,26271.0,26304.0,26304.0,42.0,51.0,55.0,61.0,127.0,kv-mlx-3ac777d,shenango_channel,4,True
41,client,4,160000,75.0,75.0,75.0,75.0,75.0,1213961.0,1213961.0,1213973.0,1213993.0,1213993.0,23169.0,23169.0,23228.0,23246.0,23246.0,40.0,51.0,56.0,67.0,358.0,kv-mlx-3ac777d,shenango_channel,4,True
42,client,4,180000,66.0,66.0,66.0,66.0,66.0,1214024.0,1214024.0,1214024.0,1214024.0,1214024.0,20452.0,20452.0,20468.0,20534.0,20534.0,46.0,51.0,55.0,61.0,126.0,kv-mlx-3ac777d,shenango_channel,4,True
43,client,4,200000,60.0,60.0,60.0,60.0,60.0,1213587.0,1213587.0,1213594.0,1213598.0,1213598.0,18615.0,18615.0,18616.0,18650.0,18650.0,46.0,56.0,72.0,116.0,264.0,kv-mlx-3ac777d,shenango_channel,4,True
44,client,4,100000,120.0,120.0,120.0,120.0,120.0,1214023.0,1214023.0,1214024.0,1214024.0,1214024.0,36675.0,36675.0,36696.0,36718.0,36718.0,34.0,46.0,61.0,81.0,109.0,kv-mlx-e08ae28,dpdkmulti,4,True
46,client,4,140000,85.0,85.0,85.0,85.0,85.0,1214022.0,1214022.0,1214022.0,1214024.0,1214024.0,26037.0,26037.0,26047.0,26068.0,26068.0,37.0,55.0,78.0,116.0,160.0,kv-mlx-e08ae28,dpdkmulti,4,True
47,client,4,160000,75.0,75.0,75.0,75.0,75.0,1214019.0,1214019.0,1214023.0,1214024.0,1214024.0,23000.0,23000.0,23006.0,23016.0,23016.0,37.0,56.0,79.0,127.0,169.0,kv-mlx-e08ae28,dpdkmulti,4,True
48,client,4,180000,66.0,66.0,66.0,66.0,66.0,1214019.0,1214019.0,1214022.0,1214024.0,1214024.0,20259.0,20259.0,20267.0,20271.0,20271.0,39.0,60.0,96.0,145.0,220.0,kv-mlx-e08ae28,dpdkmulti,4,True
49,client,4,200000,60.0,60.0,60.0,60.0,60.0,1214019.0,1214019.0,1214023.0,1214024.0,1214024.0,18430.0,18430.0,18443.0,18444.0,18444.0,40.0,65.0,111.0,169.0,252.0,kv-mlx-e08ae28,dpdkmulti,4,True
50,client,4,220000,54.0,54.0,54.0,54.0,54.0,1214016.0,1214016.0,1214018.0,1214024.0,1214024.0,16617.0,16617.0,16619.0,16638.0,16638.0,42.0,80.0,156.0,255.0,430.0,kv-mlx-e08ae28,dpdkmulti,4,True
