,ShardType,NumShards,Ops,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95,Commit,Datapath,Concurrency,Poisson,Iter
0,client,8,40000,400.0,400.0,400.0,400.0,400.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,60920.0,60920.0,61068.0,61216.0,61216.0,7.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
1,client,8,80000,200.0,200.0,200.0,200.0,200.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,30530.0,30530.0,30530.0,30678.0,30678.0,8.0,11.0,11.0,12.0,13.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
2,client,8,120000,133.0,133.0,133.0,133.0,133.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,20352.0,20352.0,20352.0,20455.0,20455.0,8.0,11.0,11.0,12.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
3,client,8,160000,100.0,100.0,100.0,100.0,100.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,15330.0,15330.0,15372.5,15415.0,15415.0,8.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
4,client,8,200000,80.0,80.0,80.0,80.0,80.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,12292.0,12292.0,12323.5,12355.0,12355.0,7.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
5,client,8,240000,66.0,66.0,66.0,66.0,66.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,10176.0,10176.0,10202.5,10229.0,10229.0,7.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
6,client,8,280000,57.0,57.0,57.0,57.0,57.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,8809.0,8809.0,8809.0,8849.0,8849.0,7.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
7,client,8,320000,50.0,50.0,50.0,50.0,50.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,7742.0,7742.0,7760.5,7779.0,7779.0,8.0,9.0,11.0,12.0,13.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
8,client,8,360000,44.0,44.0,44.0,44.0,44.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,6834.0,6834.0,6850.5,6867.0,6867.0,8.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
9,client,8,400000,40.0,40.0,40.0,40.0,40.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,6223.0,6223.0,6252.0,6252.0,6252.0,8.0,11.0,11.0,11.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
10,client,8,680000,23.0,23.0,23.0,23.0,23.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,3635.0,3635.0,3647.0,3659.0,3659.0,7.0,11.0,11.0,11.0,15.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
11,client,8,760000,21.0,21.0,21.0,21.0,21.0,1214019.0,1214019.0,1214020.0,1214020.0,1214020.0,3335.0,3335.0,3335.0,3354.0,3354.0,8.0,10.0,11.0,12.0,15.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
12,client,8,10000,1600.0,1600.0,1600.0,1600.0,1600.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,243315.0,243315.0,243870.0,244425.0,244425.0,8.0,11.0,11.0,12.0,13.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
13,client,8,480000,33.0,33.0,33.0,33.0,33.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,5156.0,5156.0,5170.5,5185.0,5185.0,7.0,11.0,11.0,11.0,13.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
14,client,8,560000,28.0,28.0,28.0,28.0,28.0,1214018.0,1214018.0,1214020.0,1214020.0,1214020.0,4396.0,4396.0,4420.0,4420.0,4420.0,8.0,11.0,11.0,11.0,14.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
15,client,8,20000,800.0,800.0,800.0,800.0,800.0,1214020.0,1214020.0,1214020.0,1214020.0,1214020.0,121722.0,121722.0,122004.5,122287.0,122287.0,7.0,11.0,11.0,12.0,12.0,kv-mlx5-0a7efa1,dpdkmulti_nochunnels,workloadb-8,True,0
