Commit,ShardType,NumShards,Ops,Concurrency,Interarrival_us_0.05,Interarrival_us_0.25,Interarrival_us_0.5,Interarrival_us_0.75,Interarrival_us_0.95,NumOps_0.05,NumOps_0.25,NumOps_0.5,NumOps_0.75,NumOps_0.95,Completion_ms_0.05,Completion_ms_0.25,Completion_ms_0.5,Completion_ms_0.75,Completion_ms_0.95,Latency_us_0.05,Latency_us_0.25,Latency_us_0.5,Latency_us_0.75,Latency_us_0.95
kvlb-1883ee8,client,2,10000,4,1200.0,1200.0,1200.0,1200.0,1200.0,274507.0,274507.0,274746.0,275228.0,275228.0,82449.0,82449.0,82584.0,82842.0,82842.0,58.0,61.0,64.0,67.0,79.0
kvlb-1883ee8,client,2,10000,8,2400.0,2400.0,2400.0,2400.0,2400.0,272175.0,272175.0,272995.0,274525.0,274525.0,81669.0,81669.0,81961.0,82255.0,82255.0,59.0,62.0,65.0,68.0,78.0
kvlb-1883ee8,client,2,20000,4,600.0,600.0,600.0,600.0,600.0,275916.0,275916.0,275986.0,276312.0,276312.0,41432.0,41432.0,41516.0,41523.0,41523.0,57.0,61.0,64.0,67.0,79.0
kvlb-1883ee8,client,2,20000,8,1200.0,1200.0,1200.0,1200.0,1200.0,273112.0,273112.0,273591.0,273859.0,273859.0,40925.0,40925.0,41148.0,41156.0,41156.0,59.0,62.0,65.0,69.0,81.0
kvlb-1883ee8,client,2,40000,4,300.0,300.0,300.0,300.0,300.0,274723.0,274723.0,276313.0,276438.0,276438.0,20666.0,20666.0,20768.0,20806.0,20806.0,57.0,61.0,64.0,68.0,86.0
kvlb-1883ee8,client,2,40000,8,600.0,600.0,600.0,600.0,600.0,273985.0,273985.0,274184.0,274188.0,274188.0,20564.0,20564.0,20568.0,20624.0,20624.0,58.0,62.0,65.0,69.0,85.0
kvlb-1883ee8,client,2,60000,4,200.0,200.0,200.0,200.0,200.0,275556.0,275556.0,275797.0,275872.0,275872.0,13869.0,13869.0,13876.0,13893.0,13893.0,57.0,61.0,65.0,70.0,90.0
kvlb-1883ee8,client,2,60000,8,400.0,400.0,400.0,400.0,400.0,271590.0,271590.0,274083.0,274097.0,274097.0,13592.0,13592.0,13715.0,13785.0,13785.0,57.0,62.0,66.0,72.0,91.0
kvlb-1883ee8,server,2,10000,4,1200.0,1200.0,1200.0,1200.0,1200.0,275257.0,275257.0,276189.0,276836.0,276836.0,82819.0,82819.0,82881.0,83125.0,83125.0,117.0,125.0,132.0,141.0,720.0
kvlb-1883ee8,server,2,10000,8,2400.0,2400.0,2400.0,2400.0,2400.0,273366.0,273366.0,273621.0,274405.0,274405.0,82005.0,82005.0,82031.0,82130.0,82130.0,121.0,131.0,143.0,430.0,816.0
kvlb-1883ee8,server,2,20000,4,600.0,600.0,600.0,600.0,600.0,275146.0,275146.0,275206.0,276367.0,276367.0,41347.0,41347.0,41421.0,41444.0,41444.0,137.0,157.0,179.0,266.0,2777.0
kvlb-1883ee8,server,2,20000,8,1200.0,1200.0,1200.0,1200.0,1200.0,272443.0,272443.0,273300.0,275586.0,275586.0,40966.0,40966.0,41056.0,41330.0,41330.0,146.0,180.0,359.0,743.0,2633.0
