,Commit,Datapath,StackType,num_clients,packet_size,tot_pkts_0.25,tot_pkts_0.5,tot_pkts_0.75,rate_bps_0.25,rate_bps_0.5,rate_bps_0.75,rate_pps_0.25,rate_pps_0.5,rate_pps_0.75,iter_0.25,iter_0.5,iter_0.75
0,tcp-0a7efa1,kernel,full:0,10,1024,48828140.0,48828140.0,48828140.0,8991309108.311049,14542871603.216644,14632190502.846975,1097572.2495902032,1775253.4262546662,1786156.6155919752,1.0,2.0,3.0
1,tcp-0a7efa1,kernel,full:0,10,2048,24414080.0,24414080.0,24414080.0,16343800046.33862,17766301734.271305,20870008483.84941,997547.1043887776,1084369.779394722,1273805.1415586844,1.0,2.0,3.0
2,tcp-0a7efa1,kernel,full:0,10,4096,12207050.0,12207050.0,12207050.0,20348364228.511208,20381959979.342564,23248298927.939693,620983.7487649226,622009.0112901822,709482.8684288689,1.0,2.0,3.0
3,tcp-0a7efa1,kernel,full:0,10,8192,6103530.0,6103530.0,6103530.0,23492315272.70498,23509480082.321594,23512335885.68396,358465.1275193396,358727.04234538536,358770.6185491174,1.0,2.0,3.0
4,tcp-0a7efa1,kernel,full:1,10,1024,48828140.0,48828140.0,48828140.0,13551497409.355972,13703482610.497225,14067002009.322618,1654236.0314533296,1672788.9181477518,1717163.8583852826,1.0,2.0,3.0
5,tcp-0a7efa1,kernel,full:1,10,2048,24414080.0,24414080.0,24414080.0,16450457964.424616,17043341765.191484,21471550404.959377,1004056.991749438,1040243.7730987665,1310520.3730146724,1.0,2.0,3.0
6,tcp-0a7efa1,kernel,full:1,10,4096,12207050.0,12207050.0,12207050.0,23337422920.703053,23359987953.441097,23363783758.25572,712202.7210179799,712891.3522250545,713007.1911729374,1.0,2.0,3.0
7,tcp-0a7efa1,kernel,full:1,10,8192,6103530.0,6103530.0,6103530.0,23483867240.170418,23509527335.131477,23511318565.05909,358336.22046932613,358727.76336774195,358755.0954317367,1.0,2.0,3.0
8,tcp-0a7efa1,kernel,full:2,10,1024,48828140.0,48828140.0,48828140.0,9133951333.776804,9300506124.161291,9731735033.007069,1114984.6359741045,1135316.037526449,1187956.301348843,1.0,2.0,3.0
9,tcp-0a7efa1,kernel,full:2,10,2048,24414080.0,24414080.0,24414080.0,19315494190.872658,21071005372.307514,21285715792.758167,1178925.050802966,1286073.026842649,1299177.9202943176,1.0,2.0,3.0
10,tcp-0a7efa1,kernel,full:2,10,4096,12207050.0,12207050.0,12207050.0,22436899656.78049,22447127697.182472,23138266171.54348,684720.8897513115,685033.0252527217,706124.9300321246,1.0,2.0,3.0
11,tcp-0a7efa1,kernel,full:2,10,8192,6103530.0,6103530.0,6103530.0,23275729753.75569,23477977462.10165,23495435582.524246,355160.28698881913,358246.349376504,358512.739780808,1.0,2.0,3.0
12,tcp-0a7efa1,kernel,full:3,10,1024,48828140.0,48828140.0,48828140.0,9350996215.72568,13528533234.769056,15258076365.824305,1141479.3806740136,1651432.7866246044,1862558.721930389,1.0,2.0,3.0
13,tcp-0a7efa1,kernel,full:3,10,2048,24414080.0,24414080.0,24414080.0,19185559758.07077,20602019092.74298,21206802151.79248,1170994.4767116024,1257448.3554778968,1294361.410436212,1.0,2.0,3.0
14,tcp-0a7efa1,kernel,full:3,10,4096,12207050.0,12207050.0,12207050.0,22769581508.32621,23427658758.13954,23439371332.677868,694873.549739059,714956.504465877,715313.9444233506,1.0,2.0,3.0
15,tcp-0a7efa1,kernel,full:3,10,8192,6103530.0,6103530.0,6103530.0,22782667006.749237,23494490764.85009,23496669195.44184,347636.728819733,358498.32297326403,358531.56326443155,1.0,2.0,3.0
16,tcp-0a7efa1,kernel,full:4,10,1024,48828140.0,48828140.0,48828140.0,9812916046.866056,13563778508.456734,13754932318.594196,1197866.0961219824,1655735.1895186442,1679069.4020212912,1.0,2.0,3.0
17,tcp-0a7efa1,kernel,full:4,10,2048,24414080.0,24414080.0,24414080.0,17235374746.960567,17691419435.328865,19742374465.775845,1051964.5445452947,1079799.3233032243,1204979.773752526,1.0,2.0,3.0
