Commit,Datapath,packet_size,StackType,rate_type,p25,p5,p75
tput-bbbd4b3,dpdkinline,64,full:0,rate_bps,8234319952.94637,8251006852.584023,8279520592.174643
tput-bbbd4b3,dpdkinline,64,full:0,rate_pps,16082656.306170251,16115247.907327097,16170938.805483658
tput-bbbd4b3,dpdkinline,64,full:1,rate_bps,8129274222.652092,8214649857.723157,8220174196.068386
tput-bbbd4b3,dpdkinline,64,full:1,rate_pps,15877488.862297986,16044238.151083129,16055027.874512678
tput-bbbd4b3,dpdkinline,64,full:2,rate_bps,7740851036.208818,7778177341.177403,7837152471.419488
tput-bbbd4b3,dpdkinline,64,full:2,rate_pps,15118849.81928856,15191752.759350996,15306938.561664777
tput-bbbd4b3,dpdkinline,64,full:3,rate_bps,7466279054.593382,7517089295.263444,7655200946.286813
tput-bbbd4b3,dpdkinline,64,full:3,rate_pps,14582576.41275706,14681815.164975643,14951564.485868154
tput-bbbd4b3,dpdkinline,64,full:4,rate_bps,7567499929.790763,7658023149.399819,7662803639.68828
tput-bbbd4b3,dpdkinline,64,full:4,rate_pps,14780273.436448738,14957076.601372732,14966413.49655272
tput-bbbd4b3,dpdkinline,64,full:5,rate_bps,7164862624.726896,7331537708.727596,7452351572.6873
tput-bbbd4b3,dpdkinline,64,full:5,rate_pps,13993872.442750074,14319409.719184903,14555374.299403956
tput-bbbd4b3,dpdkinline,64,raw,rate_bps,10124312500.414558,10125729296.433098,10127279650.629135
tput-bbbd4b3,dpdkinline,64,raw,rate_pps,19774048.034459643,19776815.21420751,19779843.24977355
tput-bbbd4b3,dpdkinline,128,full:0,rate_bps,13408968563.213438,13420954220.474075,13423572050.670715
tput-bbbd4b3,dpdkinline,128,full:0,rate_pps,13094696.150800092,13106400.894475725,13108957.369323632
tput-bbbd4b3,dpdkinline,128,full:1,rate_bps,13184093856.37721,13323946944.89232,13326243082.57942
tput-bbbd4b3,dpdkinline,128,full:1,rate_pps,12875091.940063676,13011667.224825831,13013909.546831176
tput-bbbd4b3,dpdkinline,128,full:2,rate_bps,13157748575.5351,13189859686.251364,13207106173.363228
tput-bbbd4b3,dpdkinline,128,full:2,rate_pps,12849364.126171453,12880722.633414226,12897564.906357288
tput-bbbd4b3,dpdkinline,128,full:3,rate_bps,13065067621.180428,13080045314.133904,13139892459.069178
tput-bbbd4b3,dpdkinline,128,full:3,rate_pps,12758855.37967844,12773482.03327635,12831926.51204977
tput-bbbd4b3,dpdkinline,128,full:4,rate_bps,13048689614.158855,13080509198.015305,13114745882.361286
tput-bbbd4b3,dpdkinline,128,full:4,rate_pps,12742861.231851768,12773935.044890745,12807369.307700131
tput-bbbd4b3,dpdkinline,128,full:5,rate_bps,13160342572.1338,13172931148.264353,13179459270.531996
tput-bbbd4b3,dpdkinline,128,full:5,rate_pps,12851897.326018011,12864190.857671725,12870565.977212632
tput-bbbd4b3,dpdkinline,128,raw,rate_bps,13689805370.99196,13761423345.355846,13780092159.000042
tput-bbbd4b3,dpdkinline,128,raw,rate_pps,13368950.851917775,13438890.281546762,13457121.545272509
tput-bbbd4b3,dpdkinline,256,full:0,rate_bps,19161871946.102875,19222254491.05384,19232396234.8688
tput-bbbd4b3,dpdkinline,256,full:0,rate_pps,9356383.231721658,9385866.897659585,9390818.921237811
tput-bbbd4b3,dpdkinline,256,full:1,rate_bps,19007679455.40824,19063973526.98844,19077528212.14098
tput-bbbd4b3,dpdkinline,256,full:1,rate_pps,9281093.926037164,9308581.266985254,9315199.765915023
tput-bbbd4b3,dpdkinline,256,full:2,rate_bps,18829990190.15547,18845362889.35162,18906520329.055107
tput-bbbd4b3,dpdkinline,256,full:2,rate_pps,9194331.585350828,9201837.786489597,9231699.819015628
tput-bbbd4b3,dpdkinline,256,full:3,rate_bps,18770403424.59111,18770640888.674835,18804544828.925716
tput-bbbd4b3,dpdkinline,256,full:3,rate_pps,9165236.48359121,9165352.432858134,9181907.091968335
tput-bbbd4b3,dpdkinline,256,full:4,rate_bps,18554391987.98556,18613667997.729515,18638826487.671345
tput-bbbd4b3,dpdkinline,256,full:4,rate_pps,9059762.144286398,9088705.509796487,9100989.929246228
tput-bbbd4b3,dpdkinline,256,full:5,rate_bps,18497467351.36989,18507608772.6788,18519668250.87193
tput-bbbd4b3,dpdkinline,256,full:5,rate_pps,9031966.910234235,9036918.776345694,9042807.19371355
tput-bbbd4b3,dpdkinline,256,raw,rate_bps,19550835639.531517,19609406894.09503,19633264855.02204
tput-bbbd4b3,dpdkinline,256,raw,rate_pps,9546306.91921516,9574906.16596602,9586555.561503217
tput-bbbd4b3,dpdkinline,512,full:0,rate_bps,22141949144.549145,22142033886.515064,22142191013.01334
tput-bbbd4b3,dpdkinline,512,full:0,rate_pps,5405749.836992828,5405770.5259486,5405808.8869130965
tput-bbbd4b3,dpdkinline,512,full:1,rate_bps,22141928770.15889,22141955055.021656,22142031756.167706
tput-bbbd4b3,dpdkinline,512,full:1,rate_pps,5405744.862775014,5405751.279979391,5405770.005843338
tput-bbbd4b3,dpdkinline,512,full:2,rate_bps,22141864998.627205,22141908486.786297,22142008694.196938
tput-bbbd4b3,dpdkinline,512,full:2,rate_pps,5405729.293550412,5405739.910776954,5405764.375482118
tput-bbbd4b3,dpdkinline,512,full:3,rate_bps,22141965505.818226,22142053259.194088,22142104363.291325
tput-bbbd4b3,dpdkinline,512,full:3,rate_pps,5405753.831439995,5405775.255605616,5405787.732193509
tput-bbbd4b3,dpdkinline,512,full:4,rate_bps,22142066195.014008,22142074611.529488,22142081254.203407
tput-bbbd4b3,dpdkinline,512,full:4,rate_pps,5405778.41376697,5405780.468578554,5405782.090325812
tput-bbbd4b3,dpdkinline,512,full:5,rate_bps,22140445588.58577,22142034590.81374,22142067767.57408
tput-bbbd4b3,dpdkinline,512,full:5,rate_pps,5405382.757861969,5405770.697897231,5405778.797689777
tput-bbbd4b3,dpdkinline,512,raw,rate_bps,22141823198.25985,22141894382.68895,22142005145.93092
tput-bbbd4b3,dpdkinline,512,raw,rate_pps,5405719.088386493,5405736.467397516,5405763.509208489
tput-bbbd4b3,dpdkinline,1460,full:0,rate_bps,23919034139.09584,23919065986.208733,23919128749.555927
tput-bbbd4b3,dpdkinline,1460,full:0,rate_pps,2047863.381021737,2047866.107659272,2047871.481235799
tput-bbbd4b3,dpdkinline,1460,full:1,rate_bps,23919038891.985275,23919066928.779297,23919067912.82877
